name,beer,bar
Willie Warner,Samuel Adams Hefeweizen,Mercury Brewing Company
Leona Martin,Harpoon Munich Dark,Wachusetts Brewing Company
Johnny Patton,UFO Raspberry Hefeweizen,Boston Beer Works
Isabelle Nelson,Samuel Adams Noble Pils,Element Brewing Company
Essie Nichols,Samuel Adams Hallertau Imperial Pilsner,Boston Beer Company
Melvin Hunter,Ipswich Winter,Element Brewing Company
Lina McBride,Harpoon Munich Dark,Element Brewing Company
Dominic Cook,Harpoon Leviathan,Wachusetts Brewing Company
Sue Reyes,Ipswich Harvest,Brewery at Martha's Vineyard
Maude Ramsey,Samuel Adams Triplebock 1994,Element Brewing Company
Alma Snyder,Ipswich Nut Brown,Boston Beer Company
Jane Lowe,Boltwood Bock,Paper City Brewing Company
Margaret Tucker,Framingham Maibock,Brewery at Martha's Vineyard
Virginia Moody,Regatta Golden,Buzzards Bay Brewing Inc.
Roy Henry,Samuel Adams Honey Porter,New Century Brewing Company
Isabelle Walsh,Samuel Adams Summer Ale,Commonwealth Brewing #1
Francis Ford,Samuel Adams Old Fezziwig Ale,Boston Beer Works
Jeanette Moss,Ipswich Porter,Element Brewing Company
Benjamin Clark,UFO Raspberry Hefeweizen,Mercury Brewing Company
Claudia Greer,Wachusetts IPA,New Century Brewing Company
Lottie Hamilton,Ipswich Nut Brown,New Century Brewing Company
Victor Gonzales,Samuel Adams Irish Red,Mercury Brewing Company
Travis Jefferson,Samuel Adams Old Fezziwig Ale,Paper City Brewing Company
Winnie Nunez,Samuel Adams Summer Ale,John Harvard's Brew House - Framingham
Christopher Nelson,Samuel Adams Noble Pils,John Harvard's Brew House - Framingham
Don Carson,Samuel Adams Black Lager,Harpoon Brewery - Boston
Lee Neal,Longshot Black Lager,Paper City Brewing Company
Norman Abbott,Harpoon Celtic Ale,Wachusetts Brewing Company
Melvin Floyd,Harpoon Leviathan,Harpoon Brewery - Boston
Herbert Colon,Buckeye Oatmeal Stout,Boston Beer Works
Marian Kelley,Tall Tale Pale Ale,Buzzards Bay Brewing Inc.
Alvin Baker,Samuel Adams Golden Pilsner,Boston Beer Works
Jay Robinson,Samuel Adams Cherry Wheat,Cape Ann Brewing
Harvey Massey,Lewmeister Oktoberfest,New Century Brewing Company
Sarah Long,Righteous Red,Element Brewing Company
Austin Potter,Samuel Adams White Ale,New Century Brewing Company
Allie Burton,Samuel Adams Imperial Stout,Brewery at Martha's Vineyard
Joe Glover,UFO Raspberry Hefeweizen,Boston Beer Works
Isabelle Wallace,Special Old Ale,Boston Beer Company
Wayne Fitzgerald,Half in the Bagpipe,Boston Beer Works
Lloyd Price,Wheaten Ale,Brewery at Martha's Vineyard
Lily Snyder,Ipswich Winter,Watch City Brewing
Kate Wells,North Pleasant Pale Ale,Buzzards Bay Brewing Inc.
Shane Shaw,Holyoke Dam Ale,Element Brewing Company
Lee Byrd,Wilmington Roggen Beer,John Harvard's Brew House - Harvard Square
Lulu Fitzgerald,Half in the Bagpipe,Element Brewing Company
Joel Olson,Framingham Maibock,Wachusetts Brewing Company
Jackson McCoy,Samuel Adams Coastal Wheat,Buzzards Bay Brewing Inc.
Alfred Santos,Edison Light Beer,New Century Brewing Company
Ernest Harper,Ipswich Nut Brown,Buzzards Bay Brewing Inc.
Douglas Schultz,Samuel Adams Summer Ale,Wachusetts Brewing Company
Lura Lowe,Samuel Adams Old Fezziwig Ale,Brewery at Martha's Vineyard
Ann Gonzalez,Edison Light Beer,Boston Beer Company
John Campbell,IPA,Boston Beer Company
Maude Kelly,Samuel Adams Honey Porter,Paper City Brewing Company
Olga Pierce,Samuel Adams Scotch Ale,Mercury Brewing Company
Jerry Spencer,Samuel Adams Irish Red,Watch City Brewing
Martin Gonzalez,Graduation Ale,Commonwealth Brewing #1
Hettie Bryan,North Pleasant Pale Ale,Element Brewing Company
Travis Collier,Samuel Adams Double Bock,Commonwealth Brewing #1
Leonard White,Golden Ale,Cambridge Brewing
Wesley Underwood,Cambridge Amber,Commonwealth Brewing #1
Thomas McCoy,Fenway American Pale Ale,John Harvard's Brew House - Harvard Square
Russell Wilkins,Harpoon Leviathan,Harpoon Brewery - Boston
Sam Richardson,Patriots Pilsner,New Century Brewing Company
Virgie Oliver,Samuel Adams Boston Ale,Cambridge Brewing
Nicholas Howard,North Pleasant Pale Ale,Commonwealth Brewing #1
Christina Hill,UFO Raspberry Hefeweizen,John Harvard's Brew House - Harvard Square
Fannie Bradley,Dark Element,Cape Ann Brewing
Nathaniel Ray,Cambridge Amber,John Harvard's Brew House - Harvard Square
Matthew Waters,Samuel Adams Imperial Stout,Cape Ann Brewing
Victoria Warner,North Pleasant Pale Ale,Watch City Brewing
Philip Massey,Ipswich Nut Brown,Wachusetts Brewing Company
Clyde Becker,Harpoon Leviathan,Boston Beer Company
Ellen Estrada,Samuel Adams White Ale,Boston Beer Works
Effie Mitchell,Harpoon Winter Warmer,Harpoon Brewery - Boston
Lou Castillo,Longshot Black Lager,Brewery at Martha's Vineyard
Frank Brady,Glacier Harvest '09 Wet Hop (100 Barrel Series #28),Brewery at Martha's Vineyard
Ollie Stokes,Samuel Adams Triplebock 1994,Buzzards Bay Brewing Inc.
Rose Burton,Samuel Adams Noble Pils,Harpoon Brewery - Boston
Cordelia Townsend,Heather Ale,John Harvard's Brew House - Framingham
Irene Matthews,Samuel Adams Old Fezziwig Ale,Wachusetts Brewing Company
Jeremy Long,Harpoon Ale,Cambridge Brewing
Adele Rodriguez,Puffers Smoked Porter,Boston Beer Works
Matthew Morrison,Samuel Adams Chocolate Bock,Brewery at Martha's Vineyard
Tillie Norman,Edison Light Beer,Commonwealth Brewing #1
Birdie Barton,Amber Ale,Buzzards Bay Brewing Inc.
Lizzie Elliott,Samuel Adams Cherry Wheat,New Century Brewing Company
Elizabeth Miles,Samuel Adams Holiday Porter,Paper City Brewing Company
Joe Lucas,North Pleasant Pale Ale,Mercury Brewing Company
Florence Jimenez,Samuel Adams Holiday Porter,Harpoon Brewery - Boston
Max Peters,Samuel Adams Blackberry Witbier,John Harvard's Brew House - Framingham
Don Gonzalez,Harpoon Munich Dark,Paper City Brewing Company
Georgie Newton,Harpoon Winter Warmer,Boston Beer Company
Larry Kim,Samuel Adams Boston Lager,Cape Ann Brewing
Julian Hardy,Tall Tale Pale Ale,Paper City Brewing Company
Hunter Harvey,Samuel Adams Triplebock 1995,Wachusetts Brewing Company
Benjamin Romero,Glacier Harvest '09 Wet Hop (100 Barrel Series #28),New Century Brewing Company
Essie Hoffman,Samuel Adams Noble Pils,Cambridge Brewing
Ivan Meyer,Special Old Ale,Mercury Brewing Company
Viola Ross,Righteous Red,Harpoon Brewery - Boston
Julia Andrews,Heather Ale,Cape Ann Brewing
Celia Holmes,Massatucky Brown,Mercury Brewing Company
Fannie Lee,Samuel Adams Blackberry Witbier,John Harvard's Brew House - Framingham
Randall Townsend,Samuel Adams Hallertau Imperial Pilsner,Buzzards Bay Brewing Inc.
Gerald Lambert,Righteous Red,Watch City Brewing
Eleanor Maldonado,Samuel Adams Hefeweizen,Cape Ann Brewing
Ricardo Oliver,Green Monsta Ale,Buzzards Bay Brewing Inc.
Gavin Hodges,Half in the Bagpipe,John Harvard's Brew House - Framingham
Andre Robinson,Kenmore K̦lsch,New Century Brewing Company
Brandon Thomas,Heather Ale,Brewery at Martha's Vineyard
Maude Kim,Samuel Adams Winter Lager,Element Brewing Company
Mable Hampton,Harpoon Leviathan,Cape Ann Brewing
Francisco Sanders,Longshot Black Lager,Paper City Brewing Company
Susan Nunez,Hercules Stong Ale,New Century Brewing Company
Ryan Cain,1084 Barleywine,Commonwealth Brewing #1
Katharine Scott,North Pleasant Pale Ale,Cape Ann Brewing
Allie Harper,Ipswich Oatmeal Stout,Mercury Brewing Company
Myrtle Pittman,Ipswich Nut Brown,Commonwealth Brewing #1
Luella Rose,Longshot American Pale Ale,Element Brewing Company
Ryan Joseph,Harpoon UFO Hefeweizen,Commonwealth Brewing #1
Paul Burton,Heather Ale,John Harvard's Brew House - Harvard Square
Adrian Patton,Ipswich Harvest,John Harvard's Brew House - Harvard Square
Wayne Jackson,Samuel Adams Honey Porter,Cape Ann Brewing
Edith Wong,Buckeye Oatmeal Stout,Commonwealth Brewing #1
Phoebe Reynolds,Ipswich Nut Brown,Buzzards Bay Brewing Inc.
Ralph Arnold,Kenmore K̦lsch,John Harvard's Brew House - Harvard Square
Alan Burns,Ipswich Dark Ale,New Century Brewing Company
Pearl Ryan,Charles River Porter,Boston Beer Works
Marc Santos,Samuel Adams Holiday Porter,Element Brewing Company
Rose Kennedy,Samuel Adams Blackberry Witbier,Watch City Brewing
Roy Bennett,Samuel Adams Summer Ale,Watch City Brewing
Leo Tucker,Famous Porter,Element Brewing Company
Sue Lynch,Ipswich Oatmeal Stout,Wachusetts Brewing Company
Alice Little,Wilmington Roggen Beer,Mercury Brewing Company
Howard Gonzales,Samuel Adams Cranberry Lambic,Boston Beer Company
Johanna Graves,Samuel Adams Boston Lager,Commonwealth Brewing #1
Edgar Schmidt,Wachusetts IPA,Paper City Brewing Company
Hunter Dennis,Wheaten Ale,Boston Beer Works
Don Sullivan,Samuel Adams Utopias MMIV,Paper City Brewing Company
Chase Hughes,Samuel Adams Hallertau Imperial Pilsner,Mercury Brewing Company
Elmer Ramirez,Lewmeister Oktoberfest,Wachusetts Brewing Company
Alex Ray,Samuel Adams Cherry Wheat,Buzzards Bay Brewing Inc.
Virginia Munoz,Samuel Adams Cranberry Lambic,John Harvard's Brew House - Harvard Square
Adrian Stokes,Puffers Smoked Porter,Boston Beer Works
Mathilda Mack,Longshot American Pale Ale,Commonwealth Brewing #1
Della Banks,Samuel Adams Hefeweizen,Harpoon Brewery - Boston
Elva Moran,Boston Red,John Harvard's Brew House - Harvard Square
Aaron Barnett,Harpoon Leviathan,Cambridge Brewing
Clayton Garza,Patriots Pilsner,Cape Ann Brewing
Marcus Palmer,Ipswich Porter,Cape Ann Brewing
Trevor Pierce,Ipswich Porter,Commonwealth Brewing #1
Rosalie Park,Samuel Adams Cherry Wheat,John Harvard's Brew House - Framingham
Minerva Sanchez,Special Old Ale,Boston Beer Company
Allie Tucker,Harpoon Winter Warmer,Mercury Brewing Company
Bessie Waters,Harpoon Winter Warmer,Commonwealth Brewing #1
Alfred Reyes,Honey Pilsner,Buzzards Bay Brewing Inc.
Eric Gonzalez,Longshot American Pale Ale,Paper City Brewing Company
Mabelle Allison,1084 Barleywine,Wachusetts Brewing Company
Jackson Kim,Longshot Black Lager,New Century Brewing Company
Michael Watson,Samuel Adams Hefeweizen,Wachusetts Brewing Company
Russell Bailey,Samuel Adams Triplebock 1994,John Harvard's Brew House - Framingham
Lina Daniel,Graduation Ale,Buzzards Bay Brewing Inc.
Tony Holloway,Samuel Adams Hallertau Imperial Pilsner,Boston Beer Works
Maude Stewart,Samuel Adams Brown Ale,Boston Beer Company
Effie Bishop,Lewmeister Oktoberfest,John Harvard's Brew House - Framingham
Marcus Ellis,Buckeye Oatmeal Stout,Boston Beer Works
Myrtle Diaz,Cambridge Amber,John Harvard's Brew House - Harvard Square
Leo Yates,Ipswich Nut Brown,Harpoon Brewery - Boston
Verna Santiago,Samuel Adams Coastal Wheat,Wachusetts Brewing Company
Gerald Griffith,Raspberry Brown Ale,Boston Beer Company
Shane Warner,Samuel Adams Holiday Porter,New Century Brewing Company
Alan Warren,UFO Raspberry Hefeweizen,Harpoon Brewery - Boston
Rose Barton,Kenmore K̦lsch,Brewery at Martha's Vineyard
Bill Rogers,Samuel Adams Golden Pilsner,New Century Brewing Company
Sean King,Golden Ale,Cambridge Brewing
Alberta Lucas,Special Old Ale,Harpoon Brewery - Boston
Eula Curtis,Ipswich Nut Brown,Element Brewing Company
Gilbert Perez,Samuel Adams Cream Stout,John Harvard's Brew House - Framingham
Hattie Powers,Hard Core Crisp Apple Cider,Paper City Brewing Company
Brandon Dixon,Tall Tale Pale Ale,Harpoon Brewery - Boston
Eric Fisher,Ipswich Summer,Wachusetts Brewing Company
Ronnie Marshall,Samuel Adams Coastal Wheat,Paper City Brewing Company
Rosie Buchanan,Buckeye Oatmeal Stout,Element Brewing Company
Isabelle Barnett,Patriots Pilsner,Paper City Brewing Company
Douglas Craig,North Pleasant Pale Ale,Boston Beer Company
Jason Curry,Samuel Adams Boston Lager,Cape Ann Brewing
Antonio McKenzie,Half in the Bagpipe,Commonwealth Brewing #1
Marian Cannon,Samuel Adams Triplebock 1994,New Century Brewing Company
Ethan May,Wilmington Roggen Beer,Mercury Brewing Company
Robert Kelley,Fenway American Pale Ale,Mercury Brewing Company
Lora Lopez,Ipswich Porter,Harpoon Brewery - Boston
Luis Lyons,Ipswich Nut Brown,Buzzards Bay Brewing Inc.
Larry Fleming,Samuel Adams OctoberFest,Buzzards Bay Brewing Inc.
Maria Miller,Framingham Maibock,Wachusetts Brewing Company
May Townsend,Harpoon Winter Warmer,Buzzards Bay Brewing Inc.
Clayton Richards,Samuel Adams Scotch Ale,Boston Beer Works
Amanda Newman,Sam Adams Light,New Century Brewing Company
Louise Powell,Massatucky Brown,Paper City Brewing Company
Ola Chambers,Hercules Stong Ale,Cape Ann Brewing
Brian Douglas,Samuel Adams Chocolate Bock,Brewery at Martha's Vineyard
Madge Holmes,Ipswich Porter,Boston Beer Company
Dale Fletcher,Samuel Adams OctoberFest,Cape Ann Brewing
Aiden Green,Longshot American Pale Ale,Wachusetts Brewing Company
Eliza Lloyd,Harpoon Brown Session Ale,Wachusetts Brewing Company
Belle Black,Samuel Adams Noble Pils,Brewery at Martha's Vineyard
Elizabeth Harrington,Samuel Adams Summer Ale,John Harvard's Brew House - Harvard Square
Norman Christensen,Fenway American Pale Ale,Wachusetts Brewing Company
Pearl Little,Ipswich Dark Ale,Boston Beer Works
Dale Holt,Harpoon UFO Hefeweizen,Element Brewing Company
Kathryn Nichols,Ipswich IPA,Paper City Brewing Company
Alvin Snyder,Samuel Adams Spring Ale,Wachusetts Brewing Company
Isaiah Torres,Samuel Adams Imperial Stout,New Century Brewing Company
Todd Jones,Special Old Ale,Paper City Brewing Company
Mittie Moreno,Classic Stout,Brewery at Martha's Vineyard
Eva Nichols,Samuel Adams Golden Pilsner,Harpoon Brewery - Boston
Ronald Steele,Buckeye Oatmeal Stout,Commonwealth Brewing #1
Helena Castillo,Ipswich Porter,Paper City Brewing Company
Emma Simon,Olde #8 Anniversary Ale,John Harvard's Brew House - Framingham
Antonio Casey,1084 Barleywine,Commonwealth Brewing #1
Benjamin Mendez,Fenway American Pale Ale,Mercury Brewing Company
Charles Bass,Harpoon Celtic Ale,John Harvard's Brew House - Harvard Square
Olive Paul,Samuel Adams Honey Porter,Watch City Brewing
Dorothy Yates,Harpoon Leviathan,Element Brewing Company
Jay Osborne,Ipswich Winter,Wachusetts Brewing Company
Frederick Rhodes,Samuel Adams Irish Red,Wachusetts Brewing Company
Bertha Schwartz,Samuel Adams Boston Ale,Boston Beer Works
Gabriel Waters,Ipswich Nut Brown,John Harvard's Brew House - Framingham
Pauline Soto,Regatta Golden,Paper City Brewing Company
Lily Cortez,Boltwood Bock,Watch City Brewing
Tommy Alexander,Longshot American Pale Ale,New Century Brewing Company
Isabella Reyes,Regatta Golden,John Harvard's Brew House - Framingham
Wesley Robbins,Cascade IPA,Cape Ann Brewing
Evelyn Mendez,Wheaten Ale,Wachusetts Brewing Company
Ora Gilbert,Massatucky Brown,Buzzards Bay Brewing Inc.
Carrie Cook,Ipswich Dark Ale,Watch City Brewing
Annie Houston,Two Sisters Imperial Stout,Boston Beer Company
Vincent Page,Samuel Adams Cherry Wheat,Cape Ann Brewing
Andrew Gomez,Famous Porter,Watch City Brewing
Nell Cobb,UFO Raspberry Hefeweizen,John Harvard's Brew House - Framingham
Luella Zimmerman,Harpoon Brown Session Ale,Buzzards Bay Brewing Inc.
Francisco Barton,Samuel Adams Triplebock 1995,Boston Beer Works
Billy Schultz,Harpoon UFO Hefeweizen,John Harvard's Brew House - Harvard Square
Ivan Collins,Harpoon Leviathan,Boston Beer Company
Randall Mann,Hops Explosion IPA,Watch City Brewing
Miguel Gregory,Golden Ale,New Century Brewing Company
Charlotte Morales,Samuel Adams Irish Red,Cape Ann Brewing
Ryan Bush,Wachusetts IPA,Cambridge Brewing
Ruth Fleming,Hard Core Crisp Apple Cider,Boston Beer Works
Craig Hardy,Samuel Adams Scotch Ale,Harpoon Brewery - Boston
Todd Davis,Extra Stout,Harpoon Brewery - Boston
Bessie Cole,Samuel Adams Imperial White,Harpoon Brewery - Boston
Lucile Casey,Massatucky Brown,Boston Beer Company
Delia Henry,Green Monsta Ale,Harpoon Brewery - Boston
Dorothy Newman,Samuel Adams Holiday Porter,New Century Brewing Company
Lois Rivera,Green Monsta Ale,Brewery at Martha's Vineyard
Effie Freeman,Hard Core Crisp Apple Cider,Commonwealth Brewing #1
Willie Bush,Ipswich Porter,Wachusetts Brewing Company
Floyd Soto,Longshot Black Lager,Boston Beer Works
Cynthia Hudson,Righteous Red,Cape Ann Brewing
Maggie Klein,Sam Adams Light,Boston Beer Works
Isabella McKinney,Samuel Adams Triplebock 1994,Boston Beer Company
Hallie Castro,Samuel Adams Boston Lager,New Century Brewing Company
Beulah Fox,Samuel Adams Utopias MMIV,Commonwealth Brewing #1
Dorothy Fletcher,Samuel Adams Imperial White,New Century Brewing Company
Viola Schneider,Samuel Adams Triplebock 1994,Brewery at Martha's Vineyard
Lucinda Hubbard,Samuel Adams Old Fezziwig Ale,Cambridge Brewing
Bertha Lowe,Classic Stout,Buzzards Bay Brewing Inc.
Elizabeth Ward,Ipswich Nut Brown,Wachusetts Brewing Company
Hannah Welch,Harpoon Leviathan,Element Brewing Company
Ernest Potter,Bankers Gold,Paper City Brewing Company
Gregory Bailey,Edison Light Beer,New Century Brewing Company
Martin Cohen,Cambridge Amber,Cambridge Brewing
Allie Robinson,Boston Red,Watch City Brewing
Georgie Cole,Samuel Adams Cranberry Lambic,Cambridge Brewing
Jeffery Atkins,Buckeye Oatmeal Stout,Boston Beer Company
Charles Baldwin,Ipswich Oatmeal Stout,Commonwealth Brewing #1
Helena Cain,Graduation Ale,Element Brewing Company
Elmer Peters,Ipswich Summer,Brewery at Martha's Vineyard
Emma Greene,Special Old Ale,New Century Brewing Company
Hallie Phelps,Samuel Adams Summer Ale,New Century Brewing Company
Don Cohen,Harpoon Leviathan,John Harvard's Brew House - Harvard Square
Ophelia Brooks,Samuel Adams Old Fezziwig Ale,Watch City Brewing
Samuel Boone,Classic Stout,Cambridge Brewing
Arthur Bailey,Half in the Bagpipe,Wachusetts Brewing Company
Emma Klein,Olde Buzzard Lager,John Harvard's Brew House - Harvard Square
Marguerite Stokes,Samuel Adams Double Bock,Paper City Brewing Company
Elizabeth Gregory,Golden Ale,Buzzards Bay Brewing Inc.
Ricardo Harrison,Ipswich IPA,Boston Beer Company
Claudia Yates,Ipswich Nut Brown,John Harvard's Brew House - Framingham
Birdie Hogan,Cambridge Amber,John Harvard's Brew House - Harvard Square
Jon Reed,Lewmeister Oktoberfest,Watch City Brewing
Jon Adkins,Golden Ale,John Harvard's Brew House - Framingham
Rachel Brown,Classic Stout,Watch City Brewing
Lucy Evans,Harpoon Celtic Ale,Watch City Brewing
Kathryn Montgomery,Ipswich Winter,Harpoon Brewery - Boston
Joseph Frank,Ipswich Porter,Harpoon Brewery - Boston
Viola Roberson,Fenway American Pale Ale,John Harvard's Brew House - Framingham
Jerome Johnson,Hops Explosion IPA,Harpoon Brewery - Boston
Ruby Briggs,Ipswich Original Ale,Boston Beer Works
Hallie Hubbard,IPA,John Harvard's Brew House - Harvard Square
Ralph Bell,Harpoon UFO Hefeweizen,Brewery at Martha's Vineyard
Rosalie Henry,Sam Adams Light,John Harvard's Brew House - Framingham
Mattie Young,Samuel Adams Noble Pils,Buzzards Bay Brewing Inc.
Mike Maxwell,Wilmington Roggen Beer,John Harvard's Brew House - Harvard Square
Emily Crawford,Buckeye Oatmeal Stout,Brewery at Martha's Vineyard
Jeanette Chambers,Righteous Red,Buzzards Bay Brewing Inc.
Keith Garza,Dark Element,John Harvard's Brew House - Harvard Square
Travis Stanley,Kenmore K̦lsch,Harpoon Brewery - Boston
Caroline Klein,UFO Raspberry Hefeweizen,Buzzards Bay Brewing Inc.
Winifred George,Amber Ale,Watch City Brewing
Victor Black,Samuel Adams White Ale,Harpoon Brewery - Boston
Duane Myers,1084 Barleywine,Paper City Brewing Company
Eula Carroll,Samuel Adams Black Lager,John Harvard's Brew House - Harvard Square
Callie Fisher,Samuel Adams Triplebock 1994,Buzzards Bay Brewing Inc.
Micheal Price,Samuel Adams Winter Lager,Cambridge Brewing
Cecelia Drake,Samuel Adams Summer Ale,John Harvard's Brew House - Harvard Square
Manuel Gross,Hercules Stong Ale,John Harvard's Brew House - Framingham
Jeffery Rowe,Samuel Adams Utopias MMIV,Mercury Brewing Company
Hannah Lynch,Patriots Pilsner,Commonwealth Brewing #1
Calvin Pena,Samuel Adams Imperial Stout,Cambridge Brewing
Caleb Nunez,Samuel Adams Spring Ale,Harpoon Brewery - Boston
Elva Wise,Longshot Hazelnut Brown,Harpoon Brewery - Boston
Devin Long,Olde Buzzard Lager,Commonwealth Brewing #1
Clayton Waters,Samuel Adams Boston Lager,Cambridge Brewing
Minnie Benson,Ipswich Winter,Element Brewing Company
Dominic Bailey,Samuel Adams Winter Lager,Watch City Brewing
Hester Rose,Bankers Gold,John Harvard's Brew House - Harvard Square
Michael Walker,Harpoon Ale,Commonwealth Brewing #1
Phillip James,Workingman's Wheat,John Harvard's Brew House - Harvard Square
Ricardo Spencer,Regatta Golden,Wachusetts Brewing Company
Donald Mack,North Pleasant Pale Ale,Boston Beer Company
Emilie Henderson,Edison Light Beer,Brewery at Martha's Vineyard
Verna Sutton,Ipswich Dark Ale,Boston Beer Company
Jesus Gomez,Samuel Adams Summer Ale,Harpoon Brewery - Boston
Belle Price,Samuel Adams Pale Ale,Cape Ann Brewing
Augusta Vargas,Cascade IPA,Element Brewing Company
Jordan Adams,Wilmington Roggen Beer,John Harvard's Brew House - Framingham
Margaret Snyder,Samuel Adams Blackberry Witbier,Boston Beer Works
Sylvia Figueroa,Special Old Ale,Harpoon Brewery - Boston
Marion Allen,Ipswich Summer,John Harvard's Brew House - Harvard Square
Bertha Rios,Hard Core Crisp Apple Cider,Harpoon Brewery - Boston
Sally Blair,Harpoon Winter Warmer,Buzzards Bay Brewing Inc.
Delia Doyle,Longshot Hazelnut Brown,Boston Beer Works
Kevin Wallace,Graduation Ale,Element Brewing Company
Linnie Roberson,Samuel Adams Utopias MMIV,Paper City Brewing Company
Howard Burke,Honey Pilsner,Mercury Brewing Company
Jared Holloway,Hercules Stong Ale,John Harvard's Brew House - Harvard Square
Chester Padilla,Dark Element,Element Brewing Company
Erik Luna,Lewmeister Oktoberfest,Brewery at Martha's Vineyard
Viola Roy,Samuel Adams Summer Ale,Element Brewing Company
Adam Ortega,Samuel Adams Scotch Ale,Buzzards Bay Brewing Inc.
Lottie Wilkerson,Samuel Adams Imperial White,Wachusetts Brewing Company
Isaac Rodriguez,Boston Red,John Harvard's Brew House - Framingham
Corey Garcia,Ipswich Winter,Mercury Brewing Company
Jean Fox,Samuel Adams Brown Ale,Boston Beer Works
Leo Matthews,Samuel Adams Cream Stout,Element Brewing Company
Allen Robinson,Righteous Red,Brewery at Martha's Vineyard
Robert Boyd,IPA,Watch City Brewing
Rosie Goodman,Charles River Porter,Element Brewing Company
Julian Payne,Honey Pilsner,New Century Brewing Company
Gussie Schmidt,Buckeye Oatmeal Stout,Element Brewing Company
Eugene Payne,Half in the Bagpipe,Brewery at Martha's Vineyard
Linnie Bryant,Olde Buzzard Lager,Buzzards Bay Brewing Inc.
Nicholas Walker,Half in the Bagpipe,Buzzards Bay Brewing Inc.
Leah Carr,Half in the Bagpipe,Commonwealth Brewing #1
Beatrice Harris,Samuel Adams Blackberry Witbier,Mercury Brewing Company
Lelia Thompson,Hercules Stong Ale,Cambridge Brewing
Celia Owens,Samuel Adams Brown Ale,Brewery at Martha's Vineyard
Wesley George,Samuel Adams Winter Lager,Cape Ann Brewing
Minnie Paul,Samuel Adams OctoberFest,Commonwealth Brewing #1
Philip Weber,Cambridge Amber,Boston Beer Company
Shawn Guerrero,Boltwood Bock,New Century Brewing Company
Leona Kelly,Cambridge Amber,John Harvard's Brew House - Framingham
Hallie Hines,Amber Ale,Element Brewing Company
Mollie Wolfe,Samuel Adams Cherry Wheat,Wachusetts Brewing Company
Caroline Morales,Samuel Adams Old Fezziwig Ale,Cambridge Brewing
Johnny Harvey,Samuel Adams Double Bock,Harpoon Brewery - Boston
Billy Gordon,Wheaten Ale,Brewery at Martha's Vineyard
Nicholas Horton,Fenway American Pale Ale,Paper City Brewing Company
Allen Diaz,Boltwood Bock,Boston Beer Company
Tyler Guzman,Samuel Adams Double Bock,Watch City Brewing
Marie Howell,IPA,Watch City Brewing
Chase Moran,Harpoon Leviathan,Cape Ann Brewing
Minnie Jensen,Puffers Smoked Porter,New Century Brewing Company
Carl Walker,Harpoon Celtic Ale,Wachusetts Brewing Company
Jesus Gardner,Harpoon Leviathan,Commonwealth Brewing #1
Darrell Flowers,Samuel Adams Triplebock 1995,Cape Ann Brewing
Rose Moore,Samuel Adams Spring Ale,Paper City Brewing Company
Janie Newton,Famous Porter,Cambridge Brewing
Gerald Morales,Samuel Adams Boston Lager,Harpoon Brewery - Boston
Roger Alexander,Special Old Ale,Brewery at Martha's Vineyard
Violet Rose,Edison Light Beer,Paper City Brewing Company
Olga Colon,Longshot Hazelnut Brown,Boston Beer Works
Lettie Andrews,Samuel Adams Summer Ale,Commonwealth Brewing #1
Chris Santos,Massatucky Brown,John Harvard's Brew House - Framingham
Aaron Elliott,Samuel Adams Summer Ale,Cape Ann Brewing
Nancy Wright,Samuel Adams Coastal Wheat,New Century Brewing Company
Cornelia Black,Samuel Adams Cream Stout,Cambridge Brewing
Aiden Drake,Ipswich Dark Ale,Boston Beer Company
Aiden Hughes,Two Sisters Imperial Stout,Mercury Brewing Company
Miguel Romero,Samuel Adams Blackberry Witbier,Brewery at Martha's Vineyard
Katie Arnold,Graduation Ale,Harpoon Brewery - Boston
Nettie Gregory,UFO Raspberry Hefeweizen,Wachusetts Brewing Company
Eric Hawkins,Buckeye Oatmeal Stout,Buzzards Bay Brewing Inc.
Tyler Tucker,Hops Explosion IPA,Boston Beer Works
Brent Griffith,Edison Light Beer,Brewery at Martha's Vineyard
Catherine Brady,Samuel Adams Hefeweizen,Commonwealth Brewing #1
Garrett Nguyen,Harpoon Winter Warmer,John Harvard's Brew House - Harvard Square
James Clark,Harpoon Leviathan,Mercury Brewing Company
Alex Wells,Samuel Adams Golden Pilsner,John Harvard's Brew House - Harvard Square
Winifred Wagner,Ipswich Dark Ale,Wachusetts Brewing Company
Annie Curry,Harpoon Brown Session Ale,John Harvard's Brew House - Harvard Square
Jason Riley,Wachusetts IPA,Mercury Brewing Company
Gertrude Lawrence,Samuel Adams Boston Lager,Commonwealth Brewing #1
Georgia Hodges,Glacier Harvest '09 Wet Hop (100 Barrel Series #28),Commonwealth Brewing #1
Gene Collier,Edison Light Beer,Watch City Brewing
Gabriel Brock,Puffers Smoked Porter,Buzzards Bay Brewing Inc.
Bertha Patrick,Edison Light Beer,Cape Ann Brewing
Winnie Rose,Raspberry Brown Ale,Buzzards Bay Brewing Inc.
Don Adams,Longshot American Pale Ale,Buzzards Bay Brewing Inc.
Josie Barton,Heather Ale,Watch City Brewing
Sallie Maxwell,Ipswich Nut Brown,Cape Ann Brewing
Ora Roberts,Samuel Adams Utopias MMIV,Mercury Brewing Company
Lela Vega,Special Old Ale,Element Brewing Company
Scott Hill,Samuel Adams Cranberry Lambic,John Harvard's Brew House - Harvard Square
